,Theoretical,Act Bull ,Act Bear,,Bull Rank,Bear Rank,Bear Perc,Bull Perc,,Freq,OPT
0,Bearish Reversal,Bullish Continuation,Bearish Reversal,,37,44,50%,53%,,52,90
1,Bearish Reversal,Bearish Reversal,Bullish Continuation,,50,40,54%,51%,,69,100
2,Bearish Reversal,Bullish Continuation,Bullish Continuation,,46,22,61%,51%,,87,99
3,Bearish Reversal,Bearish Reversal,Bullish Continuation,,36,5,74%,57%,,90,95
4,Bearish Reversal,Bearish Reversal,Bullish Continuation,,14,48,52%,69%,,96,64
5,Bullish Reversal,Bullish Reversal,Bullish Reversal,,13,34,55%,70%,,92,9
6,Bullish Reversal,Bullish Reversal,Bullish Reversal,,17,18,67%,66%,,32,31
7,Bearish Reversal,Bullish Continuation,Bullish Continuation,,15,20,61%,64%,,65,54
8,Bearish Reversal,Bearish Reversal,Bearish Reversal,,27,20,65%,60%,,38,59
9,Bearish Reversal,Bearish Reversal,Bearish Reversal,,16,17,69%,68%,,19,63
10,Bullish Reversal,Bullish Reversal,Bullish Reversal,,11,14,71%,71%,,22,62
11,Bearish Reversal,Bearish Reversal,Bearish Reversal,,23,2,89%,63%,,98,11
12,Bullish Reversal,Bullish Reversal,Bullish Reversal,,31,12,71%,59%,,97,45
13,None,Reversal,Continuation,,41,45,53%,52%,,3,82
14,None,Continuation,Continuation,,47,44,53%,52%,,50,66
15,None,Continuation,Reversal,,45,42,51%,52%,,54,85
16,None,Reversal,Continuation,,46,53,50%,51%,,4,68
17,Bullish Reversal,Bearish Continuation,None,,0,0,N%,75%,,103,101
18,Bearish Reversal,Bearish Reversal,Bearish Reversal,,24,24,63%,60%,,46,22
19,Bearish Reversal,Bullish Continuation,Bullish Continuation,,4,4,75%,77%,,48,93
20,Bullish Reversal,Continuation,Continuation,,50,50,51%,50%,,44,98
21,Bearish Continuation,Bullish Reversal,Bullish Reversal,,37,36,54%,56%,,57,88
22,Bullish Continuation,Bearish Reversal,Bearish Reversal,,34,58,58%,57%,,49,92
23,Bearish Reversal,Bearish Reversal,Bearish Reversal,,52,51,51%,51%,,42,77
24,None,Bullish Continuation,Bullish Reversal,,49,50,50%,51%,,41,37
25,Bearish Reversal,Bullish Continuation,Bullish Continuation,,48,49,52%,51%,,6,83
26,Bullish Reversal,Bullish Reversal,Bullish Reversal,,48,40,51%,52%,,8,78
27,Bearish Reversal,Bullish Continuation,Bullish Continuation,,8,11,67%,69%,,43,51
28,Bullish Reversal,Bearish Continuation,Bearish Continuation,,16,8,71%,64%,,53,49
29,Bearish Reversal,Bearish Reversal,None,,24,0,N%,63%,,101,97
30,Bearish Continuation,Bullish Reversal,Bullish Reversal,,25,30,59%,62%,,84,26
31,Bearish Continuation,Bullish Reversal,Bearish Continuation,,42,52,51%,54%,,68,23
32,Bearish Reversal,Bearish Reversal,Bearish Reversal,,5,5,82%,79%,,11,91
